Domains,Malicious
chat2.netmarble.net,0
chatouiller.fr,0
checkout-us.integration.blizzard.com,0
checkout.google.com,0
chem.ox.ac.uk,0
chem.yale.edu,0
cheme.mit.edu,0
chemistry.mit.edu,0
cheritz.com,0
cheritz.com.au,0
cheritza.cm,0
chesskid.com,0
chezlorry.ca,0
chicagotribune.com,0
chick-fil-a.ca,0
chick-fil-a.com,0
chick-fil-afoundation.org,0
childrensmuseumofphoenix.org,0
childrensmuseumofphoenix.org,0
chile.yahoo.com,0
chirho.tv,0
chirpty.com,0
chosen-forhypesquad.com,1
chosen-hypesquad.com,1
chosen-joinhypesquad.com,1
chosenforbeta-apply.com,1
chosenforhypesquad.com,1
christinang89.quora.com,0
christmasdiscord.gift,1
christmasdiscord.gifts,1
chrome.google.com,0
chromeenterprise.google,0
chromium.org,0
chun.sega.jp,0
chunithm.sega.jp,0
cid.capcom.com,0
cid.oxfordjournals.org,0
cidr.online,0
cidr.xyz,0
cinema.netmarble.net,0
cinemaeos.usa.canon.com,0
circlek.com,0
circlekindo.com/career.html,0
cis.ieee.org,0
cis.sonymusic.co.jp,0
cisco.com,0
ciscolive.com,0
ciso.eccouncil.org,0
cisomag.eccouncil.org,0
cisr.mit.edu,0
citizenship.disney.com,0
claim-hypesquad.com,1
claim-your-nitro.com,1
claim.discordchristmas.com,1
claimgiftcards.xyz,1
claimgifts.shop,1
claimnitro.cc,1
claimnitro.me,1
claims-hypesquad.com,1
clarin.com,0
class.yahoo.com,0
classic-nitro.com,1
classicalkusc.org/kids,0
classicnitro.com,1
classics.mit.edu,0
classicsforkids.com,0
clearsohardvardiy.cf,0
clearsohardvardiy.cf,0
click.distribution.sonypictures.com,0
clickbank.net,0
clickorlando.com,0
clicks.zynga.com,0
clients.google.com,0
clients1.google.com,0
cligate.ncsoft.com,0
climate.mit.edu,0
climate.nasa.gov,0
climatecommunication.yale.edu,0
climatekids.nasa.gov,0
climax.sega.jp,0
cliscorcl-nitro.xyz,1
cliscord-gift.ru.com,1
cliscord-gift.xyz,1
cliscord-nitro.xyz,1
cliscord.site,1
cliscordl.online,1
cliscordl.ru,1
cllscordapp.fun,1
closers.nexon.com,0
cloudblogs.microsoft.com,0
cloudconvert.com,0
cloudflare.com,0
cloudmarketplace.oracle.com,0
cloudping.bastionhost.org,0
club-hypesquad.com,1
club-moderating-exam.com,1
club-moderator-application.com,1
club-moderatorsacademy.net,1
club.netmarble.net,0
club.ubisoft.com,0
clubboost-nitro.shop,1
cms.foxbusiness.com,0
cmsw.mit.edu,0
cmu.edu,0
cn.blizzard.com,0
cn.loreal.com,0
cn.news.blizzard.com,0
cnbc.com,0
cnbcindonesia.com,0
cnet.com,0
cnet.com,0
cnil.fr,0
cnn.com,0
cnnindonesia.com,0
co.linkedin.com,0
coach.com,0
code.appinventor.mit.edu,0
code.facebook.com,0
code.google.com,0
code.org,0
code.sololearn.com,0
code.visualstudio.com,0
code.zynga.com,0
code4startup.com,0
codeacademy.com,0
codebeautify.org,0
codeclippet.com,0
codecombat.com,0
codered.eccouncil.org,0
cody.blogs.foxbusiness.com,0
coj.sega.jp,0
coldfusion.adobe.com,0
collections.library.yale.edu,0
color.adobe.com,0
colorcorrect.sephora.com,0
coloriage-enfants.fr,0
coloriagesgratuits.com,0
coloring-book.info,0
coloring-book.info/coloring,0
coloring4all.com,0
coloritou.com,0
columbia.edu,0
columbiauniversity.zoom.us,0
comdiscoril.com,1
comdlscord-claim.com,1
come-join-hypesquad-events.com,1
come-nitro.com,1
come-to-hypeteams.com,1
comet-ml.zoom.us,0
comfort.cbe.berkeley.edu,0
comics-staging.bungie.net,0
comics.bungie.net,0
commercial.asus.com,0
commercialtunage.com,0
communication.yahoo.com,0
communications.yahoo.com,0
communications.yale.edu,0
community-discord.com,1
community-moderator.com,1
community.activision.com,0
community.adobe.com,0
community.akamai.com,0
community.cnn.com,0
community.foxsports.com,0
community.instagram.com,0
community.netease-na.com,0
community.netmarble.net,0
community.oracle.com,0
community.platinumgames.com,0
community.renderman.pixar.com,0
community.sephora.com,0
community.sony.com,0
community.usa.canon.com,0
community.w3schools.com,0
community.xbox.com,0
community.yahoo.com,0
communitytradeoffer.com,1
communitytradeoffer.com.ru,1
company.netmarble.com,0
company.nexon.com,0
company.zynga.com,0
compass-ssl.xbox.com,0
compass.xbox.com,0
competitors-hypesquad.com,1
comprop.oii.ox.ac.uk,0
comptia.org,0
comptines.tv,0
comsteamcommunity.com,1
congress.blogs.foxnews.com,0
connect-academy-moderators.com,1
connect-academy-moderetors-testers.com,1
connect-beta-custom.com,1
connect-hypesquad-form.com,1
connect-hypesquad-official.com,1
connect-hypesquad-trials.com,1
connect-hypesquadevents-official.com,1
connect-hypesquads-events.com,1
connect-igr.classic.blizzard.com,0
connect-moderator-certified.com,1
connect-moderator.com,1
connect-moderators-academy.com,1
connect-moderators-forms-events.com,1
connect-moderetors-testers.com,1
connect-new-academy-renew.com,1
connect-new-discord-hypesquad-events.com,1
